"Line","Hybrid_Name","Env","SN","PTR","SB"
"SEEDFHB000283","SEEDFHB000283","Env1",8,2,15
"SEEDFHB000284","SEEDFHB000284","Env1",18,13,7
"SEEDFHB000285","SEEDFHB000285","Env1",4,4,4
"SEEDFHB000286","SEEDFHB000286","Env1",5,4,4
"SEEDFHB000287","SEEDFHB000287","Env1",4,3,3
"SEEDFHB000288","SEEDFHB000288","Env1",14,0,2
"SEEDFHB000289","SEEDFHB000289","Env1",0,5,4
"SEEDFHB000290","SEEDFHB000290","Env1",4,4,4
"SEEDFHB000291","SEEDFHB000291","Env1",8,7,4
"SEEDFHB000292","SEEDFHB000292","Env1",7,11,4
"SEEDFHB000293","SEEDFHB000293","Env1",4,4,11
"SEEDFHB000294","SEEDFHB000294","Env1",9,4,9
"SEEDFHB000295","SEEDFHB000295","Env1",11,4,6
"SEEDFHB000296","SEEDFHB000296","Env1",10,6,6
"SEEDFHB000297","SEEDFHB000297","Env1",11,4,4
"SEEDFHB000298","SEEDFHB000298","Env1",5,4,9
"SEEDFHB000299","SEEDFHB000299","Env1",10,5,15
"SEEDFHB000300","SEEDFHB000300","Env1",13,10,7
"SEEDFHB000301","SEEDFHB000301","Env1",5,7,4
"SEEDFHB000302","SEEDFHB000302","Env1",10,6,7
"SEEDFHB000303","SEEDFHB000303","Env1",4,5,4
"SEEDFHB000304","SEEDFHB000304","Env1",4,4,4
"SEEDFHB000305","SEEDFHB000305","Env1",7,10,4
"SEEDFHB000306","SEEDFHB000306","Env1",4,9,4
"SEEDFHB000307","SEEDFHB000307","Env1",7,4,4
"SEEDFHB000308","SEEDFHB000308","Env1",5,4,4
"SEEDFHB000309","SEEDFHB000309","Env1",11,2,4
"SEEDFHB000310","SEEDFHB000310","Env1",13,4,4
"SEEDFHB000311","SEEDFHB000311","Env1",4,4,4
"SEEDFHB000312","SEEDFHB000312","Env1",4,7,6
"SEEDFHB000313","SEEDFHB000313","Env1",4,4,3
"SEEDFHB000314","SEEDFHB000314","Env1",4,7,4
"SEEDFHB000315","SEEDFHB000315","Env1",13,4,0
"SEEDFHB000316","SEEDFHB000316","Env1",4,11,10
"SEEDFHB000317","SEEDFHB000317","Env1",4,4,4
"SEEDFHB000318","SEEDFHB000318","Env1",10,0,4
"SEEDFHB000319","SEEDFHB000319","Env1",4,5,5
"SEEDFHB000320","SEEDFHB000320","Env1",4,9,7
"SEEDFHB000321","SEEDFHB000321","Env1",4,4,7
"SEEDFHB000322","SEEDFHB000322","Env1",4,3,4
"SEEDFHB000323","SEEDFHB000323","Env1",11,6,5
"SEEDFHB000324","SEEDFHB000324","Env1",4,4,4
"SEEDFHB000325","SEEDFHB000325","Env1",4,4,4
"SEEDFHB000326","SEEDFHB000326","Env1",11,4,5
"SEEDFHB000327","SEEDFHB000327","Env1",14,5,6
"SEEDFHB000328","SEEDFHB000328","Env1",4,0,4
"SEEDFHB000329","SEEDFHB000329","Env1",4,4,4
"SEEDFHB000330","SEEDFHB000330","Env1",11,4,4
"SEEDFHB000331","SEEDFHB000331","Env1",5,4,4
"SEEDFHB000332","SEEDFHB000332","Env1",4,10,5
"SEEDFHB000333","SEEDFHB000333","Env1",4,4,4
"SEEDFHB000334","SEEDFHB000334","Env1",6,4,6
"SEEDFHB000335","SEEDFHB000335","Env1",9,4,4
"SEEDFHB000336","SEEDFHB000336","Env1",4,10,4
"SEEDFHB000337","SEEDFHB000337","Env1",7,11,4
"SEEDFHB000338","SEEDFHB000338","Env1",5,4,5
"SEEDFHB000339","SEEDFHB000339","Env1",11,6,4
"SEEDFHB000340","SEEDFHB000340","Env1",4,7,3
"SEEDFHB000341","SEEDFHB000341","Env1",0,4,5
"SEEDFHB000342","SEEDFHB000342","Env1",0,4,4
"SEEDFHB000343","SEEDFHB000343","Env1",7,17,7
"SEEDFHB000344","SEEDFHB000344","Env1",18,4,6
"SEEDFHB000345","SEEDFHB000345","Env1",4,0,6
"SEEDFHB000346","SEEDFHB000346","Env1",14,0,4
"SEEDFHB000347","SEEDFHB000347","Env1",15,10,6
"SEEDFHB000348","SEEDFHB000348","Env1",4,8,5
"SEEDFHB000349","SEEDFHB000349","Env1",4,10,11
"SEEDFHB000350","SEEDFHB000350","Env1",2,10,10
"SEEDFHB000351","SEEDFHB000351","Env1",5,4,7
"SEEDFHB000352","SEEDFHB000352","Env1",9,0,14
"SEEDFHB000353","SEEDFHB000353","Env1",4,7,9
"SEEDFHB000354","SEEDFHB000354","Env1",4,1,14
"SEEDFHB000355","SEEDFHB000355","Env1",4,4,6
"SEEDFHB000356","SEEDFHB000356","Env1",4,4,7
"SEEDFHB000357","SEEDFHB000357","Env1",5,4,10
"SEEDFHB000358","SEEDFHB000358","Env1",11,10,5
"SEEDFHB000359","SEEDFHB000359","Env1",14,5,11
"SEEDFHB000360","SEEDFHB000360","Env1",4,4,8
"SEEDFHB000361","SEEDFHB000361","Env1",4,7,7
"SEEDFHB000362","SEEDFHB000362","Env1",3,11,11
"SEEDFHB000363","SEEDFHB000363","Env1",11,10,8
"SEEDFHB000364","SEEDFHB000364","Env1",4,0,14
