"Line","Hybrid_Name","Env","DTHD","DTMT","GY","Height"
"GID6569128","GID6569128","Bed5IR",67.66666667,115,6.119271599,98.66666667
"GID6688880","GID6688880","Bed5IR",81,125.6666667,5.855879172,94.66666667
"GID6688916","GID6688916","Bed5IR",82.33333333,121.3333333,6.434748022,95
"GID6688933","GID6688933","Bed5IR",81.33333333,124.6666667,6.350670385,101.6666667
"GID6688934","GID6688934","Bed5IR",77.66666667,123.3333333,6.523289415,93
"GID6688949","GID6688949","Bed5IR",78,124,5.984599112,100.3333333
"GID6689407","GID6689407","Bed5IR",73.33333333,123.6666667,6.436979809,93.33333333
"GID6689482","GID6689482","Bed5IR",91,130.3333333,6.052306872,104.3333333
"GID6689550","GID6689550","Bed5IR",80,123.6666667,6.540402235,100
"GID6738288","GID6738288","Bed5IR",80,124.6666667,5.715998532,96.66666667
"GID6861263","GID6861263","Bed5IR",95.33333333,136.3333333,5.624870002,104.3333333
"GID6861485","GID6861485","Bed5IR",87.66666667,127,6.780358334,105.3333333
"GID6861531","GID6861531","Bed5IR",89.66666667,127.6666667,6.121132754,104.3333333
"GID6861690","GID6861690","Bed5IR",89,128,5.389030515,105
"GID6861779","GID6861779","Bed5IR",73,118,5.967876263,100
"GID6861787","GID6861787","Bed5IR",86,124,5.862966079,96
"GID6861813","GID6861813","Bed5IR",89,129,6.168769623,108
"GID6861823","GID6861823","Bed5IR",85,123,6.004473274,96
"GID6861833","GID6861833","Bed5IR",91,128,5.997033394,106
"GID6861890","GID6861890","Bed5IR",71,114,6.164087772,100
"GID6861897","GID6861897","Bed5IR",76,119,6.266766165,97
"GID6861915","GID6861915","Bed5IR",92,129,6.097123769,100
"GID6861919","GID6861919","Bed5IR",76,119,6.212451132,102
"GID6861967","GID6861967","Bed5IR",75,118,5.494395548,100
"GID6862002","GID6862002","Bed5IR",72,113,5.815080181,106
"GID6862015","GID6862015","Bed5IR",88,124,6.698264938,105
"GID6862021","GID6862021","Bed5IR",91,129,5.175943028,114
"GID6862028","GID6862028","Bed5IR",80,122,6.325497058,108
"GID6862058","GID6862058","Bed5IR",73,110,5.769693571,100
"GID6862260","GID6862260","Bed5IR",90,129,5.440977156,110
"GID6862303","GID6862303","Bed5IR",74,116,6.292912212,102
"GID6862314","GID6862314","Bed5IR",78,118,5.641870302,104
"GID6862365","GID6862365","Bed5IR",93,131,5.497542258,105
"GID6862370","GID6862370","Bed5IR",94,134,5.404536652,103
"GID6862387","GID6862387","Bed5IR",88,129,5.960340348,105
"GID6862407","GID6862407","Bed5IR",71,112,5.974477468,100
"GID6862457","GID6862457","Bed5IR",85,128,6.566739255,106
"GID6862474","GID6862474","Bed5IR",84,126,6.709301655,103
"GID6862745","GID6862745","Bed5IR",93.33333333,132,5.598140954,103.3333333
"GID6862771","GID6862771","Bed5IR",79,125.3333333,5.456027711,95
"GID6862787","GID6862787","Bed5IR",84.66666667,126,6.540105074,100.3333333
"GID6862797","GID6862797","Bed5IR",74.66666667,117.3333333,5.965700438,97.33333333
"GID6862975","GID6862975","Bed5IR",89.33333333,128.6666667,6.240254374,98
"GID6863145","GID6863145","Bed5IR",79.66666667,124.3333333,5.646486019,95.33333333
"GID6863290","GID6863290","Bed5IR",72,118,5.84313238,93.33333333
"GID6863300","GID6863300","Bed5IR",77.66666667,122,6.360821641,109.3333333
"GID6863318","GID6863318","Bed5IR",75.33333333,119.3333333,6.085523855,102
"GID6863371","GID6863371","Bed5IR",70.66666667,115.3333333,5.538648885,100.6666667
"GID6863396","GID6863396","Bed5IR",83,124.6666667,6.276744248,102.6666667
"GID6863412","GID6863412","Bed5IR",91,128.6666667,5.863797945,107
"GID6863491","GID6863491","Bed5IR",86.66666667,129,6.824628869,102.3333333
"GID6863500","GID6863500","Bed5IR",93,132,6.545610899,100.3333333
"GID6863517","GID6863517","Bed5IR",78,124,6.429982279,102
"GID6863532","GID6863532","Bed5IR",85,126.6666667,5.967068393,101.3333333
"GID6863533","GID6863533","Bed5IR",90.33333333,128.6666667,6.621086756,94
"GID6863544","GID6863544","Bed5IR",80,121.6666667,6.82942012,95.66666667
"GID6931277","GID6931277","Bed5IR",88,127,5.409840032,100
"GID6931281","GID6931281","Bed5IR",76.33333333,120,5.990197062,98
"GID6931300","GID6931300","Bed5IR",78.66666667,120,6.453738759,98
"GID6931301","GID6931301","Bed5IR",79,119.6666667,6.467131789,100.6666667
"GID6931304","GID6931304","Bed5IR",78.66666667,119,6.577994819,101.3333333
"GID6931305","GID6931305","Bed5IR",71,116,5.950762849,104
"GID6931327","GID6931327","Bed5IR",78.33333333,122,5.653143969,96.33333333
"GID6931343","GID6931343","Bed5IR",72.33333333,120.6666667,6.289304725,96.66666667
"GID6931346","GID6931346","Bed5IR",86,126.3333333,6.895685698,103.3333333
"GID6931368","GID6931368","Bed5IR",80.33333333,123.6666667,5.656102814,102.3333333
"GID6931369","GID6931369","Bed5IR",95.33333333,135.3333333,5.723067178,108
"GID6931374","GID6931374","Bed5IR",90.66666667,129,5.442561208,100.6666667
"GID6931420","GID6931420","Bed5IR",89,127,5.865221451,106
"GID6931426","GID6931426","Bed5IR",86,126,6.619662259,102
"GID6931427","GID6931427","Bed5IR",82,126,6.479780903,98
"GID6931430","GID6931430","Bed5IR",91,129,5.667280933,102
"GID6931437","GID6931437","Bed5IR",88,126,5.683649659,100
"GID6931449","GID6931449","Bed5IR",78,122,6.414305109,102
"GID6931453","GID6931453","Bed5IR",95,134,5.666537199,107
"GID6931463","GID6931463","Bed5IR",89,123,6.598967577,100
"GID6931471","GID6931471","Bed5IR",83,122,6.424116574,103
"GID6931476","GID6931476","Bed5IR",91,127,6.128730271,105
"GID6931482","GID6931482","Bed5IR",81,119,5.822181967,100
"GID6931494","GID6931494","Bed5IR",72,116,6.148462199,103
"GID6931506","GID6931506","Bed5IR",67,110,5.279414985,102
"GID6931509","GID6931509","Bed5IR",70,116,5.964683045,96
"GID6931512","GID6931512","Bed5IR",71,116,5.987004742,96
"GID6931515","GID6931515","Bed5IR",73,116,5.879861802,100
"GID6931516","GID6931516","Bed5IR",72,116,5.768998529,104
"GID6931517","GID6931517","Bed5IR",78,119,6.568105892,102
"GID6931519","GID6931519","Bed5IR",75,118,6.492212952,102
"GID6931531","GID6931531","Bed5IR",71,114,6.005606072,95
"GID6931560","GID6931560","Bed5IR",78,122,6.29077935,108
"GID6931587","GID6931587","Bed5IR",85,124,6.669990758,103
"GID6931590","GID6931590","Bed5IR",73,119,6.274157454,100
"GID6931593","GID6931593","Bed5IR",79,119,5.876092151,100
"GID6931606","GID6931606","Bed5IR",88,128,6.484722878,110
"GID6931608","GID6931608","Bed5IR",85,123,7.172967301,100
"GID6931630","GID6931630","Bed5IR",72,112,6.306895964,104
"GID6931632","GID6931632","Bed5IR",82,121,5.562978405,104
"GID6931644","GID6931644","Bed5IR",80,124,6.431281775,99
"GID6931655","GID6931655","Bed5IR",73,112,5.688722169,104
"GID6931663","GID6931663","Bed5IR",92,129,6.070418592,108
"GID6931677","GID6931677","Bed5IR",93,129,5.240805952,102
"GID6931707","GID6931707","Bed5IR",80,123,6.177584186,104
"GID6931730","GID6931730","Bed5IR",86,127,5.504982865,107
"GID6931736","GID6931736","Bed5IR",85,124,6.006471378,98
"GID6931754","GID6931754","Bed5IR",91,135,5.539953558,116
"GID6931780","GID6931780","Bed5IR",85.33333333,126.6666667,6.788914685,98
"GID6931781","GID6931781","Bed5IR",85.66666667,126,6.844718382,98
"GID6931814","GID6931814","Bed5IR",83.33333333,123.6666667,6.089510442,92.66666667
"GID6931822","GID6931822","Bed5IR",85,128,4.686980229,89
"GID6931840","GID6931840","Bed5IR",80,118,6.093230622,104
"GID6931845","GID6931845","Bed5IR",73,118.6666667,6.406920951,102.3333333
"GID6931852","GID6931852","Bed5IR",87.33333333,128,6.160640594,101
"GID6931862","GID6931862","Bed5IR",84.33333333,125.6666667,5.964212018,92.33333333
"GID6931889","GID6931889","Bed5IR",81.66666667,125,5.747694108,91
"GID6932000","GID6932000","Bed5IR",79.33333333,125.6666667,6.204539618,99.66666667
"GID6932009","GID6932009","Bed5IR",84.33333333,126,6.793825314,100
"GID6932074","GID6932074","Bed5IR",84.33333333,126.3333333,6.287855559,101
"GID6932080","GID6932080","Bed5IR",80.33333333,125,6.934432536,101.3333333
"GID6932110","GID6932110","Bed5IR",89.33333333,126.6666667,6.205265292,105.6666667
"GID6932128","GID6932128","Bed5IR",78.66666667,125.6666667,6.213450382,99
"GID6932132","GID6932132","Bed5IR",93.33333333,129,5.147973746,92.66666667
"GID6932153","GID6932153","Bed5IR",76.33333333,122.6666667,6.398718169,97.33333333
"GID6932161","GID6932161","Bed5IR",82.66666667,127,6.374908562,96.33333333
"GID6932168","GID6932168","Bed5IR",83.33333333,126.3333333,5.539343592,95.33333333
"GID6932172","GID6932172","Bed5IR",90,128.6666667,5.381605289,96
"GID6932173","GID6932173","Bed5IR",89,128,5.499164986,93.33333333
"GID6932181","GID6932181","Bed5IR",93.33333333,128.6666667,5.956010076,102.3333333
"GID6932185","GID6932185","Bed5IR",85,126.3333333,6.172528136,99
"GID6932229","GID6932229","Bed5IR",86,128.6666667,6.243212529,99.33333333
"GID6932249","GID6932249","Bed5IR",78.33333333,123,5.977804653,98.66666667
"GID6932258","GID6932258","Bed5IR",81,123,5.95399535,102.3333333
"GID6932281","GID6932281","Bed5IR",71,118,5.90860841,96.66666667
"GID6932283","GID6932283","Bed5IR",80,123,6.09834044,93
"GID6932285","GID6932285","Bed5IR",76.33333333,120.3333333,6.16084047,88.33333333
"GID6932287","GID6932287","Bed5IR",85.66666667,126.6666667,6.45176353,97
"GID6932304","GID6932304","Bed5IR",91,129.6666667,6.509799227,95.66666667
"GID6932308","GID6932308","Bed5IR",79.33333333,124.6666667,6.434650257,97
"GID6932311","GID6932311","Bed5IR",87,128,6.33122762,98.33333333
"GID6932320","GID6932320","Bed5IR",83,125.3333333,5.512775467,97
"GID6932325","GID6932325","Bed5IR",83.66666667,125.3333333,6.45473995,102.3333333
"GID6932344","GID6932344","Bed5IR",79.66666667,125,6.542655236,87.66666667
"GID6932347","GID6932347","Bed5IR",74.33333333,119,6.126731546,90.33333333
"GID6932355","GID6932355","Bed5IR",72,119,6.69369603,98
"GID6932356","GID6932356","Bed5IR",85.33333333,128,6.75694006,105.6666667
"GID6932358","GID6932358","Bed5IR",76,126,6.950392816,98.33333333
"GID6932388","GID6932388","Bed5IR",89,128,5.236106966,94
"GID6932401","GID6932401","Bed5IR",89.66666667,128,6.622267693,98.66666667
"GID6932403","GID6932403","Bed5IR",87.66666667,127,5.91393439,98.33333333
"GID6932411","GID6932411","Bed5IR",84.33333333,126,6.010660753,96.66666667
"GID6932413","GID6932413","Bed5IR",91.66666667,129,5.69444045,97.33333333
"GID6932418","GID6932418","Bed5IR",73,118,6.4578336,93.33333333
"GID6932429","GID6932429","Bed5IR",71.33333333,117,6.31720866,97.66666667
"GID6932430","GID6932430","Bed5IR",74.33333333,119.3333333,5.922067853,96.66666667
"GID6932436","GID6932436","Bed5IR",72.66666667,117,5.687692193,98.33333333
"GID6932463","GID6932463","Bed5IR",85.66666667,126,6.888585703,98
"GID6932487","GID6932487","Bed5IR",92.66666667,131.6666667,5.117008277,97.33333333
"GID6932489","GID6932489","Bed5IR",84.66666667,125.3333333,6.561992464,105.3333333
"GID6932500","GID6932500","Bed5IR",85.33333333,125.3333333,6.111099107,99.66666667
"GID6932505","GID6932505","Bed5IR",88.66666667,127.6666667,6.288926471,96.66666667
"GID6932507","GID6932507","Bed5IR",88,127.6666667,6.153509501,107.6666667
"GID6932510","GID6932510","Bed5IR",87,125.6666667,6.011396561,102.3333333
"GID6932511","GID6932511","Bed5IR",88,128,6.093985924,102
"GID6932512","GID6932512","Bed5IR",85,125.3333333,6.347706621,103
"GID6932513","GID6932513","Bed5IR",75,118.3333333,6.480890984,102
"GID6932516","GID6932516","Bed5IR",91.33333333,130,6.361099347,104.3333333
"GID6932534","GID6932534","Bed5IR",73,115,5.977914711,105
"GID6932535","GID6932535","Bed5IR",87,127,5.527021741,104.3333333
"GID6932540","GID6932540","Bed5IR",82,126,6.140117164,101.6666667
"GID6932576","GID6932576","Bed5IR",88,126.3333333,6.903510284,100
"GID6932577","GID6932577","Bed5IR",87.66666667,126.6666667,6.462289981,101.3333333
"GID6932583","GID6932583","Bed5IR",73.33333333,125,6.087290041,103
"GID6932597","GID6932597","Bed5IR",71.33333333,116.3333333,6.119284131,100
"GID6932619","GID6932619","Bed5IR",91.66666667,128.3333333,5.880444887,103
"GID6932621","GID6932621","Bed5IR",72.33333333,112,5.720550044,99.33333333
"GID6932622","GID6932622","Bed5IR",89,127.6666667,6.03602602,102
"GID6932631","GID6932631","Bed5IR",90.66666667,126.6666667,6.054627444,95
"GID6932636","GID6932636","Bed5IR",79,119.3333333,5.91251414,100.6666667
"GID6932658","GID6932658","Bed5IR",77.66666667,121.6666667,6.39614523,100.6666667
"GID6932693","GID6932693","Bed5IR",90,128,5.7837945,107.6666667
"GID6932701","GID6932701","Bed5IR",86,126,5.85596653,104.6666667
"GID6932729","GID6932729","Bed5IR",73,117.3333333,5.633496984,105.3333333
"GID6932730","GID6932730","Bed5IR",86.66666667,125.6666667,6.603735014,106.6666667
"GID6932731","GID6932731","Bed5IR",72.66666667,117.6666667,6.41028271,105.3333333
"GID6932734","GID6932734","Bed5IR",92,129,5.359687074,99
"GID6932756","GID6932756","Bed5IR",94.66666667,136,6.14937017,108.3333333
"GID6932772","GID6932772","Bed5IR",72.33333333,116.3333333,6.224518564,107.3333333
"GID6932818","GID6932818","Bed5IR",73,114.3333333,6.14118544,103
"GID6932821","GID6932821","Bed5IR",73.33333333,115.6666667,6.23121547,104
"GID6932835","GID6932835","Bed5IR",83,125.6666667,6.269162167,100.6666667
"GID6932894","GID6932894","Bed5IR",87,127,7.013953924,102
"GID6932901","GID6932901","Bed5IR",89,127.3333333,6.76395362,102.3333333
"GID6932911","GID6932911","Bed5IR",91.33333333,130.6666667,6.531810984,106
"GID6932931","GID6932931","Bed5IR",85.33333333,126.6666667,6.72823971,103.6666667
"GID6932932","GID6932932","Bed5IR",84.33333333,127,6.487912074,102.6666667
"GID6932959","GID6932959","Bed5IR",87,126.3333333,6.662019104,105.3333333
"GID6932961","GID6932961","Bed5IR",85.33333333,126,6.301156527,102.3333333
"GID6932970","GID6932970","Bed5IR",81.33333333,121.6666667,6.723836311,105
"GID6932997","GID6932997","Bed5IR",91,128.6666667,6.479043954,108.3333333
"GID6932999","GID6932999","Bed5IR",89,128,6.132317317,107
"GID6933007","GID6933007","Bed5IR",73.33333333,116.3333333,5.932168771,99.33333333
"GID6933031","GID6933031","Bed5IR",86,126,6.378597557,96
"GID6933104","GID6933104","Bed5IR",78.66666667,126,6.512526314,105
"GID6933126","GID6933126","Bed5IR",80.66666667,125,6.662823887,104
"GID6933127","GID6933127","Bed5IR",74.33333333,117,5.596603584,100.6666667
"GID6933145","GID6933145","Bed5IR",74.66666667,116.6666667,6.848836037,105.3333333
"GID6933147","GID6933147","Bed5IR",82.33333333,127.6666667,5.937378067,105.6666667
"GID6933163","GID6933163","Bed5IR",80,124,6.118970309,103
"GID6933164","GID6933164","Bed5IR",79,117,6.212720339,98
"GID6933166","GID6933166","Bed5IR",80,123,6.519268036,102
"GID6933168","GID6933168","Bed5IR",84,125,5.779684733,100
"GID6933171","GID6933171","Bed5IR",80,123,6.363018096,105
"GID6933172","GID6933172","Bed5IR",84,125,6.449327793,102
"GID6933173","GID6933173","Bed5IR",74,117,5.752154823,100
"GID6933177","GID6933177","Bed5IR",75,116,6.758851519,95
"GID6933178","GID6933178","Bed5IR",87,127,5.571351549,100
"GID6933179","GID6933179","Bed5IR",82,123,6.494714579,95
"GID6933182","GID6933182","Bed5IR",79,123,6.546797943,96
"GID6933184","GID6933184","Bed5IR",80,119,6.293821973,100
"GID6933186","GID6933186","Bed5IR",73,115,6.882363669,105
"GID6933187","GID6933187","Bed5IR",72,113,6.029685033,102
"GID6933188","GID6933188","Bed5IR",75,119,5.93811657,106
"GID6933189","GID6933189","Bed5IR",80,124,6.20522888,105
"GID6933190","GID6933190","Bed5IR",79,119,5.92546691,102
"GID6933191","GID6933191","Bed5IR",74,116,5.054187273,98
"GID6933192","GID6933192","Bed5IR",75,117,6.537074303,100
"GID6933196","GID6933196","Bed5IR",80,124,6.285586333,98
"GID6933201","GID6933201","Bed5IR",75,117,6.26475303,100
"GID6933204","GID6933204","Bed5IR",79,118,6.05195506,105
"GID6933205","GID6933205","Bed5IR",73,116,5.527401756,105
"GID6933207","GID6933207","Bed5IR",87,129,7.23647915,107
"GID6933214","GID6933214","Bed5IR",73,116,5.261032543,103
"GID6933221","GID6933221","Bed5IR",92,134,6.968621906,102
"GID6933222","GID6933222","Bed5IR",80,119,6.669514603,98
"GID6933223","GID6933223","Bed5IR",84,129,6.185139966,102
"GID6933225","GID6933225","Bed5IR",73,116,6.291538996,106
"GID6933226","GID6933226","Bed5IR",88,129,5.91058636,105
"GID6933227","GID6933227","Bed5IR",82,123,6.691092723,102
"GID6933230","GID6933230","Bed5IR",78,123,5.636777086,102
"GID6933231","GID6933231","Bed5IR",75,116,6.32799745,98
"GID6933234","GID6933234","Bed5IR",92,134,6.249872146,107
"GID6933237","GID6933237","Bed5IR",75,120,6.702997176,98
"GID6933246","GID6933246","Bed5IR",79,120,5.843622206,100
"GID6933250","GID6933250","Bed5IR",88,126,5.79972357,105
"GID6933253","GID6933253","Bed5IR",86,126,6.293771266,106
"GID6933256","GID6933256","Bed5IR",87,129,6.56386063,105
"GID6933261","GID6933261","Bed5IR",92,133,5.89570566,110
"GID6933262","GID6933262","Bed5IR",92,133,6.198420333,108
"GID6933280","GID6933280","Bed5IR",73,116,5.27059231,105
"GID6933282","GID6933282","Bed5IR",80,124,5.811515007,104
"GID6933291","GID6933291","Bed5IR",76,117,5.21925337,102
"GID6933294","GID6933294","Bed5IR",84,124,5.8018424,104
"GID6933296","GID6933296","Bed5IR",82,123,5.78770543,103
"GID6933301","GID6933301","Bed5IR",87,129,4.400800793,105
"GID6933309","GID6933309","Bed5IR",84,124,5.437259157,108
"GID6933311","GID6933311","Bed5IR",79,120,5.940979883,106
"GID6933313","GID6933313","Bed5IR",75,118,5.964045247,105
"GID6933319","GID6933319","Bed5IR",81,123,6.446187943,110
"GID6933323","GID6933323","Bed5IR",91,133,6.592021307,108
"GID6933351","GID6933351","Bed5IR",76,119,5.672378337,97
"GID6933369","GID6933369","Bed5IR",82,118,5.445444033,102
"GID6933373","GID6933373","Bed5IR",75,120,6.859134397,100
"GID6933384","GID6933384","Bed5IR",76,119,5.84648576,103
"GID6933385","GID6933385","Bed5IR",80,120,6.40377779,105
"GID6933391","GID6933391","Bed5IR",71,112,5.49008682,107
"GID6933396","GID6933396","Bed5IR",75,119,6.01836088,101
