"Line","Hybrid_Name","Env","DTHD","DTMT","GY","Height"
"GID7044340","GID7044340","Bed2IR",83,109,3.431167382,91
"GID7044357","GID7044357","Bed2IR",80,115.333333,4.596542726,85
"GID7044358","GID7044358","Bed2IR",76.3333333,111.333333,4.275114089,90
"GID7044472","GID7044472","Bed2IR",73.3333333,111,4.196792682,89
"GID7044515","GID7044515","Bed2IR",80,112.666667,4.231018052,90
"GID7044516","GID7044516","Bed2IR",76,111,3.960928749,95
"GID7044583","GID7044583","Bed2IR",78,114,4.466137292,89
"GID7044679","GID7044679","Bed2IR",77.3333333,111.333333,4.417774745,90
"GID7044766","GID7044766","Bed2IR",79,112.666667,4.515988835,100
"GID7044800","GID7044800","Bed2IR",78.3333333,113,4.657357622,100
"GID7044811","GID7044811","Bed2IR",78.6666667,115,4.537566319,89
"GID7044812","GID7044812","Bed2IR",75,110.333333,4.699024682,90
"GID7044828","GID7044828","Bed2IR",72,109.333333,4.790542742,95
"GID7044885","GID7044885","Bed2IR",75.3333333,111.666667,4.734191152,94
"GID7045003","GID7045003","Bed2IR",78.6666667,111.333333,4.082214901,93
"GID7045042","GID7045042","Bed2IR",78,111.666667,4.284596354,100
"GID7045044","GID7045044","Bed2IR",77.3333333,111,4.145459384,95
"GID7045112","GID7045112","Bed2IR",79,112.666667,4.564357808,100
"GID7045143","GID7045143","Bed2IR",85,109.333333,4.251858231,90
"GID7045155","GID7045155","Bed2IR",76.6666667,110,4.030875958,100
"GID7045240","GID7045240","Bed2IR",80.6666667,115,4.223774879,100
"GID7045243","GID7045243","Bed2IR",84,112.666667,4.379280939,83
"GID7045271","GID7045271","Bed2IR",82.6666667,115.666667,4.152346302,90
"GID7045298","GID7045298","Bed2IR",79.3333333,115.333333,4.600549732,99
"GID7045334","GID7045334","Bed2IR",78,112.666667,4.511622922,95
"GID7045355","GID7045355","Bed2IR",75.3333333,110.333333,3.564450285,95
"GID7045496","GID7045496","Bed2IR",67.3333333,103.333333,3.190194405,100
"GID7045647","GID7045647","Bed2IR",81.6666667,114.666667,4.471085852,90
"GID7045691","GID7045691","Bed2IR",80,113.666667,4.192812212,100
"GID7045777","GID7045777","Bed2IR",80.3333333,115,4.543014458,89
"GID7045950","GID7045950","Bed2IR",75.6666667,111,4.572388106,100
"GID7046099","GID7046099","Bed2IR",80.6666667,113.666667,4.557507526,90
"GID7046110","GID7046110","Bed2IR",77.6666667,112.333333,4.591733586,85
"GID7046132","GID7046132","Bed2IR",71.3333333,106,4.27848998,85
"GID7046165","GID7046165","Bed2IR",79.6666667,115,4.272537403,85
"GID7046166","GID7046166","Bed2IR",73.3333333,107.333333,4.062748855,85
"GID7046177","GID7046177","Bed2IR",81,116.666667,4.151289832,85
"GID7046204","GID7046204","Bed2IR",75.6666667,113.333333,4.613343559,85
"GID7046230","GID7046230","Bed2IR",75.6666667,111.666667,4.487599739,81
"GID7046234","GID7046234","Bed2IR",77,113,4.122272769,85
